#
# file: cargrp.dat
# description: For each type of ped (worker, clubber etc) we maintain a list of the cars they might drive.
# This list is used to pick cars in a very similar way we pick peds.
#
forklift, flatbed, packer, phantom, emperor2, mule, boxville, pony, burrito, benson, steed, bobcat, e109, # POPCYCLE_GROUP_DOCKS (Obbe:forklift added back in. Should only be created on nodes with SPECIAL_SMALL_WORKERS set)
banshee, comet, coquette, bobcat, hakumai, emperor, infernus, lokus, ruiner, sentinel, sultanrs, supergt, turismo, admiral,  # POPCYCLE_GROUP_BUSINESS_HIGH
sentinel, schafter, ruiner, landstalker, premier, blista, vincent, rancher,  # POPCYCLE_GROUP_BUSINESS_LOW

burrito, stalion, bobcat, blista, faction, mule, stockade, vincent, pony, merit, minivan, esperanto, stratum,    # POPCYCLE_GROUP_FACTORY
mrtasty,  # POPCYCLE_GROUP_PARK
mrtasty, # POPCYCLE_GROUP_GOLF
cabby, taxi, taxi2,  # POPCYCLE_GROUP_TAXI
flatbed, packer, phantom, mule, benson, # POPCYCLE_GROUP_BUILDING_SITE
mule, ripley, airtug, bus, perennial2, feroci2, # POPCYCLE_GROUP_AIRPORT_WORKERS
stockade, # POPCYCLE_GROUP_SECURITY
pmp600, steed, rancher, bobcat, # POPCYCLE_GROUP_PROSTITUTES_PIMPS
vigero2, marbella, emperor, esperanto, burrito, blista, sabre2, faggio, fortune, ingot, # POPCYCLE_GROUP_BUMS

zombieb, 		# POPCYCLE_GROUP_GANG_ALBANIAN
patriot, 		# POPCYCLE_GROUP_GANG_BIKER_1
patriot, 		# POPCYCLE_GROUP_GANG_BIKER_2
sentinel, pmp600,   	# POPCYCLE_GROUP_GANG_ITALIAN
uranus, ingot		# POPCYCLE_GROUP_GANG_RUSSIAN	(maffia/Mob)
huntley  		# POPCYCLE_GROUP_GANG_RUSSIAN_2	(Gang)
burrito2 		# POPCYCLE_GROUP_GANG_IRISH
voodoo 			# POPCYCLE_GROUP_GANG_JAMAICAN
rancher, landstalker  	# POPCYCLE_GROUP_GANG_AFRICAN_AMERICAN
sultan, pres 		# POPCYCLE_GROUP_GANG_KOREAN
intruder, admiral 	# POPCYCLE_GROUP_GANG_CHINESE_JAPANESE
dukes		 	# POPCYCLE_GROUP_GANG_PUERTO_RICAN
police, police2, polpatriot, noose, predator, pstockade, nstockade, fbi  # POPCYCLE_GROUP_COPS
faggio, comet, stalion, ruiner, coquette, sultan, infernus, premier, steed, bobber, vigero, blista, rebla, faction, taxi, ingot, intruder, lokus, sanchez, pres, vincent, admiral, pmp600, banshee, e109, nrg900, taxi2, admiral, turismo, rancher, merit, minivan, stratum, supergt, # POPCYCLE_GROUP_NETWORK
reefer, squalo, marquis, jetmax, tropic, # POPCYCLE_CAR_GROUP_BOATS
sentinel, vincent, pres, intruder, admiral, sultan, stratum, hakumai, rebla, schafter, ingot, primo, admiral, oracle, merit, premier, washington, solair, pinnacle, lokus, washington,		# POPCYCLE_CAR_GROUP_BORING_SALOONS
ripley, airtug, bus, mrtasty, perennial2, feroci2, dukes, voodoo, zombieb, burrito2, huntley,  # POPCYCLE_GROUP_ONLY_IN_NATIVE_ZONE		(These cars will only appear in the zones that they belong in)
